"name","PolParty"
" jeunesverts.org/bordeaux"," Les Verts"
" bix.enix.org/"," Les Verts"
" www.arnaudcaron.net/"," Les Verts"
" dominiquevoynet.net/blog"," Les Verts"
" blogs.lesverts.fr/"," Les Verts"
" emilien.net/"," Les Verts"
" lipietz.net/blog.php3?id_breve=63"," Les Verts"
" www.libanvision.com/villepin.htm"," UMP"
" www.villepin-2007.net/"," UMP"
" umpdauphine.hautetfort.com/"," UMP"
" www.blogmilitant.com/map.php"," UMP"
" delvolve.typepad.com/"," UMP"
" www.alain-lambert-blog.org/"," UMP"
" jeunespop75008.hautetfort.com/"," UMP"
" bohbot.typepad.com/mon_weblog/"," UMP"
" ericraoult.over-blog.com/"," UMP"
" www.u-m-p.org"," UMP"
" claudegoasguen.typepad.com/claude_goasguen/"," UMP"
" www.andre-santini.net"," UMP"
" elodiesaucier.hautetfort.com"," UMP"
" darmondavid-andre.hautetfort.com"," UMP"
" www.blogdevedjian.com/"," UMP"
" villepin.over-blog.com/"," UMP"
" www.carnetjpr.com/"," UMP"
" 2villepin.free.fr/"," UMP"
" solere.blogs.com/"," UMP"
" blogjeunespopparis7.hautetfort.com/"," UMP"
" www.jeunesump61.com/"," UMP"
" pierredeniziot.hautetfort.com/"," UMP"
" www.de-villepin.org/"," UMP"
" colombespourvillepin.over-blog.com/"," UMP"
" devillepin-renouveaugaulliste.over-blog.com/"," UMP"
" jeunespopulaires16.hautetfort.com/"," UMP"
" umpboulogne.blogs.com/"," UMP"
" jeunespop11.hautetfort.com/"," UMP"
" rdecorte.typepad.com/"," UMP"
" galouzeau.hautetfort.com/"," UMP"
" blog.villepin.free.fr/"," UMP"
" pierrelellouche.blogs.com/"," UMP"
" laplumeetlepee.canalblog.com/"," UMP"
" dominiquedevillepin.over-blog.com/"," UMP"
" www.jeunespopulaires94.org/paris12/"," UMP"
" fabricemorenon.typepad.com/"," UMP"
" sarko2007.free.fr/"," UMP"
" blog.cybermilitant.com/"," UMP"
" www.al1jup.com/"," UMP"
" yvesjego.typepad.com/"," UDF"
" denisvinckier.hautetfort.com/"," UMP"
" carnetsdeleclusier.hautetfort.com/"," UDF"
" www.valerieletard.org/"," UDF"
" jeunes.udf.org/"," UDF"
" leblogdedavidbourgeois.hautetfort.com/"," UDF"
" www.christelledecremiers.com/"," UDF"
" www.jean-lassalle.fr/"," UDF"
" www.yvesclement.org/"," UDF"
" www.udf-europe.net"," UDF"
" yvescoupe.hautetfort.com/"," UDF"
" jcharre.typepad.com"," UDF"
" www.jerome-charre.fr/"," UDF"
" blogs.leparisien.com/bcordin/"," UDF"
" mavitresurlemonde.hautetfort.com/"," UDF"
" udfpartilibrevoiedelespoirhr80.hautetfort.com/"," UDF"
" www.olivierhenno.net/"," UDF"
" democratiesansfrontiere.org/"," UDF"
" chantalcutajar.blogspirit.com/"," UDF"
" danielpouppeville.hautetfort.com/"," UDF"
" xavierlefevreverlinghem.hautetfort.com/"," UDF"
" www.udf-istres.eu/"," UDF"
" www.capidees.net/blog/index.php/"," UDF"
" alainduchesne.hautetfort.com/"," UDF"
" www.santini-andre.com/"," UDF"
" www.taha.fr/blog"," UDF"
" assurementbayrou.hautetfort.com/"," UDF"
" francoisvandeville.hautetfort.com/"," UDF"
" ericmielke.hautetfort.com/"," UDF"
" louis-jaleman.hautetfort.com/"," UDF"
" lesjeuneslibres.hautetfort.com/"," UDF"
" politikos.hautetfort.com/"," UDF"
" www.rudy-salles.com/blog/"," UDF"
" sebpietrasanta.skyblog.com/"," PS"
" www.wmaker.net/editoweb/ps_istres/"," PS"
" mag.jacklang.net/"," PS"
" www.desirsdavenir.org//"," PS"
" dsk2007.blogspirit.com/"," PS"
" socialismedemocratielaicite.blogs.com/"," PS"
" www.benoitmarquaille.net/"," PS"
" sd14.hautetfort.com/"," PS"
" sylvainelies.typepad.com/"," PS"
" www.philippekaltenbach.com/"," PS"
" www.josephdion.com/"," PS"
" www.2007lagauche.fr/"," PS"
" www.avecdsk.net"," PS"
" www.dsk2007.net"," PS"
" www.socialisme-et-democratie.net"," PS"
" alarochelleavecdsk.blogspirit.com"," PS"
" www.parti-socialiste.fr"," PS"
" www.ps92.fr/"," PS"
" gauche2007.over-blog.com"," PS"
" hebdo.parti-socialiste.fr"," PS"
" desirsdavenir92.over-blog.com"," PS"
" puteaux.typepad.com"," PS"
" projet.parti-socialiste.fr"," PS"
" www.jm-bockel.com/Le-Blog/Le-Blog.html"," PS"
" philippelacroix.canalblog.com/"," PS"
" barruga.blogspot.com/"," PS"
" www.sdj69.com/"," PS"
" gilbert-roger.typepad.com/gilbert_roger/"," PS"
" annuaire.parti-socialiste.fr/"," PS"
" www.monputeaux.com/"," PS"
" www.aklipolitique.com"," PS"
" www.mon92.com/"," PS"
" www.sevres92310.net/"," PS"
" www.marielauremeyer.com/"," PS"
" www.ps92.net/"," PS"
" www.catherinepicard.net/"," PS"
" dsk29.blogspirit.com/"," PS"
" lefil.blogs.com/benoithamon/"," PS"
" remibazillier.blogspot.com/"," PS"
" pek.blogs.com/"," PS"
" mldavoine.typepad.com/"," PS"
" renover.maintenant-21.over-blog.com/"," PS"
" valeriomotta.canalblog.com/"," PS"
" www.urvoas.org/"," PS"
" www.gouriet.com/"," PS"
" www.nadinejeanne.com/"," PS"
" www.guyjanvier.com/"," PS"
" www.philippesarre.com/"," PS"
" vincent-jarousseau.blogspot.com/"," PS"
" www.democratie-socialisme.org/index.php3"," PS"
" fabius.typepad.com/"," PS"
" www.temps-reels.net/blogs/paris/"," PS"
" www.ps92.com/"," PS"
" www.marie-noelle-lienemann.fr/blog_marie_noelle_lienemann"," PS"
" www.monneuilly.com/"," PS"
" lioneljospin.parti-socialiste.fr/"," PS"
" etmaintenant.over-blog.com/"," PS"
" www.radicale-attitude.net/"," Parti Radical de Gauche"
" www.eddieait.com//"," Parti Radical de Gauche"
" prg-le-havre.over-blog.org/"," Parti Radical de Gauche"
" www.planeteradicale.org"," Parti Radical de Gauche"
" blog.riposte-radicale.org/"," Parti Radical de Gauche"
" vincentgarelinfosetdebats.over-blog.com//"," Parti Radical de Gauche"
" jeanlevain.typepad.com/"," Parti Radical de Gauche"
" cergy-2008.blogspot.com/"," Parti Radical de Gauche"
" ericmontes.over-blog.net/"," Parti Radical de Gauche"
" taubira2007.over-blog.net/"," Parti Radical de Gauche"
" meklat.prg07.org/"," Parti Radical de Gauche"
" paris.jeunes-communistes.org/home.php"," PCF - LCR"
" www.pcf.fr"," PCF - LCR"
" www.editoweb.eu/pcf_salondeprovence/"," PCF - LCR"
" libresechanges.humanite.fr/"," PCF - LCR"
" www.mgbuffet.org/"," PCF - LCR"
" www.patrice-leclerc.org/"," PCF - LCR"
" www.pageliberale.org/"," liberaux"
" reseaulib.org/"," liberaux"
" hayek.skyblog.com/"," liberaux"
" www.liberte-cherie.com"," liberaux"
" www.liberaux.org"," liberaux"
" chroniquespatagones.blogspirit.com"," liberaux"
" quitter_la_secu.blogspot.com/"," liberaux"
" patrick-madrolle.laissez-faire.eu/"," liberaux"
" www.copeau.org/"," liberaux"
" chacun-pour-soi.blogspot.com/"," liberaux"
" www.lcr-rouge.org"," PCF - LCR"
" hugues.blogs.com"," Commentateurs Analystes"
" sarkostique.over-blog.com"," Commentateurs Analystes"
" www.placedelademocratie.net"," Commentateurs Analystes"
" www.page2007.com/"," Commentateurs Analystes"
" blog.netpolitique.net/"," Commentateurs Analystes"
" www.election-presidentielle.fr/"," Commentateurs Analystes"
" www.debat2007.fr/"," Commentateurs Analystes"
" www.politique20.info"," Commentateurs Analystes"
" ceteris-paribus.blogspot.com/"," Commentateurs Analystes"
" vanb.typepad.com/versac/"," Commentateurs Analystes"
" presidentielle.2007.free.fr/"," Commentateurs Analystes"
" www.cap21.net"," Cap21"
" corinnelepage.hautetfort.com/"," Cap21"
" etudiants.alternative-liberale.over-blog.com/"," liberaux"
" alternativeliberale91.blogspot.com/"," liberaux"
" alternativeliberale20e.over-blog.com/"," liberaux"
" www.alternative-liberale.fr/blogs/"," liberaux"
" alternative38.fr/"," liberaux"
" aurel.hautetfort.com/"," liberaux"
" alternative-liberale-15e.blogspot.com/"," liberaux"
" al-jura.hautetfort.com/"," liberaux"
" blog.liberteavenir.fr/"," liberaux"
" blog.edouard-fillias.fr/"," liberaux"
" salina.hautetfort.com/"," liberaux"
" alternativeliberale12e.over-blog.org/"," liberaux"
" alternativeliberale18e.over-blog.org/"," liberaux"
" caccomo.blogspot.com/"," liberaux"
" alternative-liberale-lorraine.blogspot.com/"," liberaux"
